name,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11
Bitcoin,1503882095.14,1351929052.5275,1201625246.9499998,997391142.129,1274798503.8425,1533991353.382,1827309437.8250003,5222614573.942499,9694533829.911999,10588106306.550001,8602578641.337502,7168819090.268,5846206123.9175,6016501579.15,7912390060.17,8092461748.615,7062486026.729999,5861207352.2325,4784447930.11,4833790932.878,4638579370.17,3454224772.2575,3272739439.93,3683541324.9619994,3282153119.1175003,3367544106.358,3403839178.2075,4043748291.3624997,3661916804.8199997,3433043138.6875,3826501805.0424995,5103984952.874001,6384063338.992499,6132585467.156,6254997813.285,6304179944.88,6650597233.594999,7242262152.052,10234353494.6425,10387993034.880001,9202915155.619999,9647281755.8525,10311261591.84,11566917645.824999,12872033563.425,14695930570.86,17139894670.15,17844538551.875,19459662142.840004,31240801882.800003,43550136685.875,40985158064.7,65123610885.025,66156446218.77501,87122790526.0,126268063281.75
Ethereum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63173019.777679995,73113974.52255,45293482.3936,69254848.39544,68076411.17074999,118923786.22072001,350135043.36475,915752953.1585,745754350.27825,870264978.6042,1104199055.5687501,995256571.3261999,929979792.4632499,1036017717.8582499,1019117463.6958001,858206820.28325,676561844.35075,871205840.8630002,1090986430.495,2943265940.965,4741116859.018,11232121357.355,29657277500.45,20693918022.14,27981916618.675,27443725957.525,29367864920.859997,34007418814.25
Litecoin,74426612.0364,59052697.858624995,49148472.660119995,53888276.43695,56117145.841525,54297502.80505999,46780910.0431,122467872.73372501,633939363.1602,614027787.1085,462212923.5395,398799775.9496,314750966.37525,302805067.23625,299216618.528,244550709.87675,186373513.0046,153970494.77675,126298592.69974999,122779754.5828,111186021.05342501,64842342.110300004,67321321.645625,68411003.95894,56471886.68475,62023113.12206,98079949.582775,179532558.42249998,151536493.29020002,122200356.03175,131668306.992,149579037.42360002,155631544.03474998,143795943.1588,147012671.78425,145240713.99,149228452.87375,186121106.1592,228356122.076,194507927.9402,174891276.26700002,185388284.50675002,187637155.8084,187346615.45100003,190913585.30349997,197163180.15899998,192073044.40774998,196516542.485,578578895.3016,1429654704.2900002,1906504919.0500002,2241592294.3380003,2525695017.625,3126362688.7425003,3050721819.5099998,3649114140.125
All Other Cryptocurrencies,17861651.44481,15770015.729478626,9230178.243610814,10520674.291052703,45944110.23756969,81245227.99956611,84037491.0582262,110616235.86524254,601011621.7831315,693616598.8871412,602634801.8022099,607914350.1968415,312700119.60556877,311080946.79761815,354433762.2331785,313446460.75249153,297435945.8220112,421050912.112948,389870315.8553932,437877940.9782467,915276692.147491,792641703.135876,635364287.2619802,530035813.1657178,422770507.9565172,403906398.438035,513507722.4469478,516146999.7251184,454753862.1792536,418154576.85969305,329312911.3127018,305757746.42179567,390219206.4450364,388179642.01162505,560507369.2717025,643113045.8238404,617400995.7693694,593643616.5474217,835248831.9676955,1119612992.0180511,1186460215.4477415,1218854523.574333,1169200141.2084084,1120275054.7505026,1094710161.8393211,1322418453.174829,1513060789.8503954,2279817893.64112,4773015195.066216,17851749926.774834,30383931583.69022,25023191917.345135,41768206315.33217,42896188643.54335,42969774025.600876,65502763125.6647
